Sort order,"Major area, region, country or area of destination",Notes,Country code,Type of data (a),1990,2000,2010,2013,1990,2000,2010,2013,1990,2000,2010,2013
94,Singapore,,702,B,  727 262, 1 351 691, 2 164 794, 2 323 252,  345 842,  601 671,  956 856, 1 026 171,  381 420,  750 020, 1 207 938, 1 297 081
95,Thailand,,764,B R,  528 693, 1 257 821, 3 224 131, 3 721 735,  283 486,  647 728, 1 633 607, 1 877 391,  245 207,  610 093, 1 590 524, 1 844 344
96,Timor-Leste,,626,B,  8 954,  9 274,  10 984,  11 569,  4 450,  4 466,  6 441,  6 803,  4 504,  4 808,  4 543,  4 766
97,Viet Nam,,704,C R,  28 118,  56 754,  61 756,  68 290,  15 230,  33 622,  35 971,  39 636,  12 888,  23 132,  25 785,  28 654
98,Southern Asia,,5501,, 20 201 893, 15 693 443, 15 235 274, 15 001 688, 11 144 067, 8 647 983, 8 605 667, 8 483 825, 9 057 826, 7 045 460, 6 629 607, 6 517 863
99,Afghanistan,,4,B,  57 686,  75 917,  102 246,  105 090,  32 558,  42 848,  57 709,  59 343,  25 128,  33 069,  44 537,  45 747
100,Bangladesh,,50,B R,  881 617,  987 853, 1 345 546, 1 396 514,  759 452,  850 941, 1 164 455, 1 209 928,  122 165,  136 912,  181 091,  186 586
101,Bhutan,,64,B,  23 807,  32 137,  48 420,  50 862,  19 409,  26 200,  39 283,  41 245,  4 398,  5 937,  9 137,  9 617
102,India,,356,B R, 7 493 204, 6 411 272, 5 436 012, 5 338 486, 3 914 396, 3 303 560, 2 787 826, 2 736 253, 3 578 808, 3 107 712, 2 648 186, 2 602 233
103,Iran (Islamic Republic of),,364,B R, 4 291 601, 2 803 805, 2 686 708, 2 649 516, 2 456 700, 1 662 264, 1 645 078, 1 612 034, 1 834 901, 1 141 541, 1 041 630, 1 037 482
104,Maldives,,462,C,  8 689,  27 092,  69 290,  84 230,  4 777,  14 907,  38 321,  46 655,  3 912,  12 185,  30 969,  37 575
105,Nepal,,524,B R,  430 651,  717 751,  904 993,  971 247,  122 212,  214 690,  283 174,  307 922,  308 439,  503 061,  621 819,  663 325
106,Pakistan,,586,B R, 6 555 782, 4 242 689, 4 302 092, 4 080 766, 3 604 052, 2 334 175, 2 419 005, 2 307 164, 2 951 730, 1 908 514, 1 883 087, 1 773 602
107,Sri Lanka,,144,C R,  458 856,  394 927,  339 967,  324 977,  230 511,  198 398,  170 816,  163 281,  228 345,  196 529,  169 151,  161 696
108,Western Asia,,922,, 15 916 563, 18 903 319, 31 277 166, 33 144 331, 9 360 609, 11 332 998, 20 394 547, 21 780 626, 6 555 954, 7 570 321, 10 882 619, 11 363 705
109,Armenia,,51,B R,  658 789,  574 235,  308 941,  317 001,  270 535,  235 812,  138 741,  145 170,  388 254,  338 423,  170 200,  171 831
110,Azerbaijan,(9),31,B R,  360 600,  347 540,  303 397,  323 843,  157 856,  149 780,  141 538,  153 703,  202 744,  197 760,  161 859,  170 140
111,Bahrain,,48,C,  173 200,  244 937,  666 172,  729 357,  123 851,  169 407,  481 175,  526 814,  49 349,  75 530,  184 997,  202 543
112,Cyprus,(10),196,B,  43 805,  80 076,  154 253,  207 313,  20 463,  34 745,  66 097,  90 292,  23 342,  45 331,  88 156,  117 021
113,Georgia,(11),268,B,  338 300,  218 600,  192 135,  189 893,  148 094,  94 211,  89 653,  90 191,  190 206,  124 389,  102 482,  99 702
114,Iraq,,368,C R,  83 638,  146 910,  83 111,  95 780,  55 751,  101 154,  58 096,  67 282,  27 887,  45 756,  25 015,  28 498
115,Israel,,376,B R, 1 632 704, 1 851 309, 2 014 279, 2 046 873,  770 777,  853 712,  915 688,  928 084,  861 927,  997 597, 1 098 591, 1 118 789
116,Jordan,,400,C R, 1 146 349, 1 927 845, 2 722 983, 2 925 780,  586 473,  982 977, 1 384 313, 1 483 048,  559 876,  944 868, 1 338 670, 1 442 732
117,Kuwait,,414,C R, 1 585 280, 1 500 442, 1 871 537, 2 028 053,  966 281, 1 013 270, 1 309 814, 1 419 354,  618 999,  487 172,  561 723,  608 699
118,Lebanon,,422,B R,  523 693,  692 913,  820 655,  849 721,  267 922,  353 305,  427 358,  445 077,  255 771,  339 608,  393 297,  404 644
119,Oman,,512,C,  423 572,  623 608, 1 017 696, 1 112 032,  334 810,  493 633,  815 347,  900 972,  88 762,  129 975,  202 349,  211 060
120,Qatar,,634,C,  369 816,  470 731, 1 456 168, 1 600 955,  268 978,  338 979, 1 163 895, 1 267 783,  100 838,  131 752,  292 273,  333 172
121,Saudi Arabia,,682,C R, 4 998 445, 5 263 388, 8 429 983, 9 060 433, 3 324 873, 3 517 729, 5 933 295, 6 437 270, 1 673 572, 1 745 659, 2 496 688, 2 623 163
122,State of Palestine,(12),275,B,  288 332,  275 202,  258 032,  256 517,  132 101,  124 555,  114 688,  113 817,  156 231,  150 647,  143 344,  142 700
